GeneID,logFC,logCPM,F,PValue,adj.p,comparision,expression
HORVU.MOREX.r2.6HG0452760,-1.5093915782192746,7.45580294242402,78.84530759952985,1.4207575658864472e-6,3.9824164980533364e-4,GABA v.s. Control,Down
HORVU.MOREX.r2.6HG0453290,4.249166326939106,-1.5024198004498102,10.289711371689952,0.007656297586927318,0.042137604938463455,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0453480,1.5421923553671617,-1.167487169597413,9.801160030355085,0.008825378001327586,0.04632939070122012,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0453490,-6.677664106067914,5.723325224658381,225.84771208490548,4.597039640047388e-9,3.693874585432744e-5,GABA v.s. Control,Down
HORVU.MOREX.r2.6HG0454160,-3.7469176797196546,2.8897665437857145,59.83775308653837,5.805497099564244e-6,6.720069852613215e-4,GABA v.s. Control,Down
HORVU.MOREX.r2.6HG0454170,-1.7470928862972797,-0.11929588768401263,15.074086580350633,0.002237739574732325,0.018777700609682698,GABA v.s. Control,Down
HORVU.MOREX.r2.6HG0454550,-1.1166839864293887,-0.1377277556329227,10.512907102226684,0.007183532461770143,0.04017332203138883,GABA v.s. Control,Down
HORVU.MOREX.r2.6HG0454780,1.237060370682589,6.611498500673066,26.212883567147742,2.6562020876547186e-4,0.005145523319789204,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0455380,-1.2108635940850678,4.288105710794882,39.59424409608527,4.272158346057037e-5,0.001819516768375458,GABA v.s. Control,Down
HORVU.MOREX.r2.6HG0455390,-1.1457641267965353,4.236890464321962,32.14740102672611,1.100454330348642e-4,0.002994259082667105,GABA v.s. Control,Down
HORVU.MOREX.r2.6HG0455430,3.2626783675946966,4.73441083081605,19.69202280909052,8.399433918198271e-4,0.010043489783337675,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0455490,1.0423443746609071,3.575009195759829,9.90706971054831,0.008555011544365325,0.04539447684095763,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0455510,1.1100880578460364,6.2801325168423885,22.295590776955017,5.159905601652906e-4,0.00754303726097301,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0455810,3.532341766048205,2.3983490631371973,21.691451062011406,5.756910027107395e-4,0.008044989745707297,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0455890,3.8898926574780246,2.009961524800817,27.35615247038691,2.2178004068957718e-4,0.004585102625096867,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0455900,3.404020764359787,0.8585232918172014,13.497215079498995,0.003261764001328417,0.023892552257867117,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0455910,4.0475320867698965,1.9259765111260247,23.50111948423523,4.172062341483325e-4,0.006669213183275666,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0455940,4.403256428460985,-0.7377419939689615,11.87308348837935,0.004944371360416337,0.03159836055519518,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0456040,3.8787381603448368,6.1017211948344094,90.26091662534553,6.99948187179482e-7,3.1875727225373217e-4,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0456060,5.097509647493187,7.656914658517411,76.05548403589735,1.7124482944074167e-6,4.30002901926929e-4,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0456280,2.973855668491049,-0.5768693331414594,11.474008479138682,0.005503067969045893,0.03389293726668889,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0456300,5.266633598872832,0.7319864803665589,33.0494973463372,9.73025870589906e-5,0.0028158177234622176,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0456470,2.2998714562736677,2.918432717855295,46.24958280710787,2.0517624161639264e-5,0.0012553244874123758,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0457380,-1.3831496901470293,4.7197298553352836,37.55980749206384,5.4513560332851764e-5,0.0020992074846385377,GABA v.s. Control,Down
HORVU.MOREX.r2.6HG0457710,3.67097742676546,-0.8859765377150192,12.756748039693226,0.003928104900463289,0.02717098901881436,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0457770,2.4455783937753295,1.5228793559473703,33.021986416047156,9.766476431070883e-5,0.00281644197964998,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0458170,1.7442883136660121,1.4367596997957446,14.302050199725421,0.00268278189330137,0.021058658521629053,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0458250,-1.1328505797689963,5.446640147766879,31.166098456433073,1.2618684857589602e-4,0.0032257265872434244,GABA v.s. Control,Down
HORVU.MOREX.r2.6HG0458320,-1.4709095702678772,2.307295273236387,12.597218544680604,0.004091913145492458,0.027959086815544557,GABA v.s. Control,Down
HORVU.MOREX.r2.6HG0458340,1.152433558274306,5.968367610194475,21.115330994159763,6.402946325149575e-4,0.008572262253170596,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0458430,2.1373754686053847,-0.7478396392471343,11.329632969804594,0.005723274088491747,0.03466463446662866,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0458630,1.5024309268185658,6.997316497242451,27.704929034037196,2.1013406480179195e-4,0.004435632019362519,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0458640,1.1530972773541295,3.4598367417786546,14.784022881513065,0.002393951657073764,0.01958215088069907,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0459090,2.265983688098525,3.0845067634539225,13.993484005996022,0.002889222277739502,0.022096317330960794,GABA v.s. Control,Up
HORVU.MOREX.r2.6HG0459260,-1.1752135710632163,6.767615025671151,31.696367034856504,1.171443068433898e-4,0.003096360373647757,GABA v.s. Control,Down
