# Program:featureCounts v1.6.4; Command:"featureCounts" "-T" "4" "-p" "-a" "../Hv_genome/gene_annotation/Barley_Morex_V2_gene_annotation_PGSB.all.gff3.gz" "-t" "gene" "-g" "ID" "-o" "../4_Counts/GC_GABA_ABA_geneCounts.txt" "../3_BAM/GABA_S3.STARAligned_sortedByName.bam" "../3_BAM/GABA_S2.STARAligned_sortedByName.bam" "../3_BAM/GABA_S4.STARAligned_sortedByName.bam" "../3_BAM/GABA_S1.STARAligned_sortedByName.bam" "../3_BAM/Kont_S3.STARAligned_sortedByName.bam" "../3_BAM/Kont_S2.STARAligned_sortedByName.bam" "../3_BAM/Kont_S4.STARAligned_sortedByName.bam" "../3_BAM/Kont_S1.STARAligned_sortedByName.bam" "../3_BAM/ABA_S3.STARAligned_sortedByName.bam" "../3_BAM/ABA_S2.STARAligned_sortedByName.bam" "../3_BAM/ABA_S4.STARAligned_sortedByName.bam" "../3_BAM/ABA_S1.STARAligned_sortedByName.bam" 
Geneid	../3_BAM/GABA_S3.STARAligned_sortedByName.bam	../3_BAM/GABA_S2.STARAligned_sortedByName.bam	../3_BAM/GABA_S4.STARAligned_sortedByName.bam	../3_BAM/GABA_S1.STARAligned_sortedByName.bam	../3_BAM/Kont_S3.STARAligned_sortedByName.bam	../3_BAM/Kont_S2.STARAligned_sortedByName.bam	../3_BAM/Kont_S4.STARAligned_sortedByName.bam	../3_BAM/Kont_S1.STARAligned_sortedByName.bam	../3_BAM/ABA_S3.STARAligned_sortedByName.bam	../3_BAM/ABA_S2.STARAligned_sortedByName.bam	../3_BAM/ABA_S4.STARAligned_sortedByName.bam	../3_BAM/ABA_S1.STARAligned_sortedByName.bam
HORVU.MOREX.r2.2HG0119180	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119190	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119200	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119210	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119220	561	862	635	858	922	392	753	602	332	525	536	521
HORVU.MOREX.r2.2HG0119230	7	2	8	5	4	2	11	4	5	2	6	9
HORVU.MOREX.r2.2HG0119240	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119250	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119260	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119270	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119280	1	0	0	0	0	0	0	0	0	0	1	0
HORVU.MOREX.r2.2HG0119290	0	2	5	1	3	0	3	0	0	0	0	0
HORVU.MOREX.r2.2HG0119300	1809	1813	1938	1889	1296	706	1915	1096	633	1833	1964	1332
HORVU.MOREX.r2.2HG0119310	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119320	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119330	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119340	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119350	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119360	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119370	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119380	2439	2777	3309	2523	3942	1518	4205	2988	2033	3197	3141	3273
HORVU.MOREX.r2.2HG0119390	31	20	46	33	12	17	55	15	9	53	12	15
HORVU.MOREX.r2.2HG0119400	374	559	427	392	480	312	519	283	190	412	508	380
HORVU.MOREX.r2.2HG0119410	2596	2993	3188	2657	2652	1015	3019	2097	1099	1743	1964	2022
HORVU.MOREX.r2.2HG0119420	1	1	2	2	5	3	4	1	9	4	5	3
HORVU.MOREX.r2.2HG0119430	17	5	20	11	2	1	10	4	5	10	3	11
HORVU.MOREX.r2.2HG0119440	3	16	12	19	25	5	25	2	3	10	14	5
HORVU.MOREX.r2.2HG0119450	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119460	5510	7007	7023	5278	5151	2418	5707	4481	2892	4241	5072	4654
HORVU.MOREX.r2.2HG0119470	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119480	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119490	3	18	11	9	2	3	5	5	2	4	8	9
HORVU.MOREX.r2.2HG0119500	969	1163	1125	1007	1158	571	1275	1021	740	1228	1075	1381
HORVU.MOREX.r2.2HG0119510	1	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119520	0	5	0	3	0	0	3	2	0	0	1	0
HORVU.MOREX.r2.2HG0119530	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119540	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119550	0	0	0	0	0	0	0	0	0	1	0	0
HORVU.MOREX.r2.2HG0119560	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119570	0	0	0	4	0	0	0	0	1	0	0	2
HORVU.MOREX.r2.2HG0119580	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119590	0	0	0	0	0	0	0	1	0	0	0	0
HORVU.MOREX.r2.2HG0119600	2	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119610	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119620	0	4	0	0	0	0	1	0	0	3	0	0
HORVU.MOREX.r2.2HG0119630	3565	4938	4437	3192	3277	988	2971	2790	1950	1858	2397	2479
HORVU.MOREX.r2.2HG0119640	847	1434	1315	2471	2249	903	2648	1169	2368	3059	4819	3915
HORVU.MOREX.r2.2HG0119650	13	20	12	14	38	18	51	38	31	49	52	48
HORVU.MOREX.r2.2HG0119660	0	0	0	5	2	2	4	1	0	4	1	0
HORVU.MOREX.r2.2HG0119670	0	0	0	1	0	0	0	0	1	2	1	0
HORVU.MOREX.r2.2HG0119680	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119690	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119700	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119710	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119720	2	4	15	1	3	10	2	6	1	5	2	3
HORVU.MOREX.r2.2HG0119730	2	0	0	1	0	2	1	0	0	1	0	0
HORVU.MOREX.r2.2HG0119740	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119750	48	102	34	81	121	78	112	54	146	115	180	177
HORVU.MOREX.r2.2HG0119760	3	12	7	22	13	16	59	10	18	112	79	25
HORVU.MOREX.r2.2HG0119770	3	14	5	9	9	9	34	1	9	8	49	11
HORVU.MOREX.r2.2HG0119780	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119790	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119800	587	766	748	684	808	298	875	616	396	601	577	635
HORVU.MOREX.r2.2HG0119810	0	0	0	0	0	0	0	0	0	2	0	0
HORVU.MOREX.r2.2HG0119820	1459	1498	1811	1526	2032	1062	2280	1335	906	2088	1563	1461
HORVU.MOREX.r2.2HG0119830	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119840	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119850	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119860	444	566	713	534	848	221	668	674	526	798	846	1189
HORVU.MOREX.r2.2HG0119870	302	317	373	328	437	119	409	376	240	522	495	756
HORVU.MOREX.r2.2HG0119880	4	7	7	1	3	0	1	3	2	2	1	1
HORVU.MOREX.r2.2HG0119890	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119900	1094	1312	1485	1551	1760	681	1810	1158	1096	1681	1438	1552
HORVU.MOREX.r2.2HG0119910	3	3	3	2	5	0	4	2	3	0	0	4
HORVU.MOREX.r2.2HG0119920	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119930	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119940	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119950	497	632	655	639	1870	650	1239	1042	1158	1304	944	1383
HORVU.MOREX.r2.2HG0119960	223	262	324	315	377	219	447	277	214	357	272	285
HORVU.MOREX.r2.2HG0119970	2867	3771	3668	3731	4031	1770	4239	2720	2052	3236	3473	2984
HORVU.MOREX.r2.2HG0119980	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0119990	16670	20871	20475	15460	16174	6506	17944	14022	11253	11948	19725	14507
HORVU.MOREX.r2.2HG0120000	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120010	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120020	1525	2029	1802	1846	1818	956	2053	1401	1014	1497	1675	1353
HORVU.MOREX.r2.2HG0120030	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120040	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120050	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120060	0	0	1	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120070	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120080	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120090	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120100	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120110	1028	1126	982	1082	1399	448	1041	634	675	594	689	667
HORVU.MOREX.r2.2HG0120120	434	267	462	402	789	257	571	382	359	509	362	568
HORVU.MOREX.r2.2HG0120130	145	127	281	152	257	137	300	162	124	290	231	308
HORVU.MOREX.r2.2HG0120140	24	27	19	9	30	24	15	12	5	9	28	36
HORVU.MOREX.r2.2HG0120150	735	1006	846	989	971	423	988	963	577	843	886	885
HORVU.MOREX.r2.2HG0120160	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120170	1056	1522	1365	1346	1298	678	1437	1024	613	1226	1308	1005
HORVU.MOREX.r2.2HG0120180	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120190	2	4	4	0	0	0	3	0	0	0	0	0
HORVU.MOREX.r2.2HG0120200	6	9	2	0	0	1	0	0	0	4	5	5
HORVU.MOREX.r2.2HG0120210	0	3	4	0	0	0	0	0	1	2	4	0
HORVU.MOREX.r2.2HG0120220	2	0	1	1	0	0	0	0	0	2	0	0
HORVU.MOREX.r2.2HG0120230	176	92	97	70	47	34	89	8	56	227	238	161
HORVU.MOREX.r2.2HG0120240	876	1410	1260	1089	1334	538	1370	1271	673	978	912	997
HORVU.MOREX.r2.2HG0120250	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120260	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120270	2	0	0	0	1	2	0	1	0	1	4	0
HORVU.MOREX.r2.2HG0120280	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120290	936	855	967	897	891	442	881	565	477	1062	731	1041
HORVU.MOREX.r2.2HG0120300	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120310	2	4	1	2	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120320	0	0	1	4	2	0	4	0	0	4	0	3
HORVU.MOREX.r2.2HG0120330	2751	3229	3054	2627	2664	1061	2836	1562	1476	1598	2380	1683
HORVU.MOREX.r2.2HG0120340	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120350	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120360	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120370	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120380	1207	1457	1432	1097	1383	547	1189	945	793	1083	1103	1171
HORVU.MOREX.r2.2HG0120390	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120400	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120410	248	279	412	325	522	165	430	414	284	382	348	350
HORVU.MOREX.r2.2HG0120420	155	260	293	209	318	145	341	204	108	265	316	217
HORVU.MOREX.r2.2HG0120430	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120440	1	4	5	3	3	2	4	4	2	7	0	2
HORVU.MOREX.r2.2HG0120450	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120460	4182	5295	5870	2958	3105	819	2897	2933	1655	2449	2302	2746
HORVU.MOREX.r2.2HG0120470	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120480	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120490	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120500	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120510	332	352	444	395	396	141	419	263	120	303	343	344
HORVU.MOREX.r2.2HG0120520	2	1	8	1	0	16	0	5	3	1	3	2
HORVU.MOREX.r2.2HG0120530	174	213	243	273	369	120	376	267	346	740	583	776
HORVU.MOREX.r2.2HG0120540	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120550	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120560	1923	2610	2406	2040	2294	1102	2786	1582	1359	2369	2385	2142
HORVU.MOREX.r2.2HG0120570	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120580	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120590	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120600	1435	1780	1932	2038	2579	995	2371	1790	1588	1956	2276	2235
HORVU.MOREX.r2.2HG0120610	4172	5395	4822	3638	3427	1263	3494	3150	1921	2155	2990	2743
HORVU.MOREX.r2.2HG0120620	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120630	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120640	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120650	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120660	419	562	662	639	966	237	982	848	350	686	565	641
HORVU.MOREX.r2.2HG0120670	0	0	0	0	2	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120680	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120690	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120700	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120710	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120720	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120730	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120740	0	0	0	0	1	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120750	166	261	261	351	390	150	326	208	189	219	341	214
HORVU.MOREX.r2.2HG0120760	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120770	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120780	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120790	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120800	1201	1489	1300	1280	1329	602	1354	909	649	808	886	1087
HORVU.MOREX.r2.2HG0120810	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120820	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120830	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120840	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120850	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120860	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120870	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120880	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120890	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120900	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120910	842	1128	1178	968	835	474	879	739	479	540	734	625
HORVU.MOREX.r2.2HG0120920	0	0	0	1	0	0	1	8	1	2	5	2
HORVU.MOREX.r2.2HG0120930	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120940	718	950	897	904	888	343	958	732	508	822	634	744
HORVU.MOREX.r2.2HG0120950	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120960	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120970	789	1133	735	754	448	231	567	466	242	291	394	346
HORVU.MOREX.r2.2HG0120980	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0120990	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121000	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121010	0	0	0	0	0	0	3	0	0	3	0	0
HORVU.MOREX.r2.2HG0121020	1848	2430	2649	1366	1471	342	1143	1495	608	1065	811	1483
HORVU.MOREX.r2.2HG0121030	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121040	28	20	40	40	84	29	50	41	40	30	28	72
HORVU.MOREX.r2.2HG0121050	2405	2817	2683	2986	3336	1411	3188	2186	1782	2158	2644	2140
HORVU.MOREX.r2.2HG0121060	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121070	720	771	753	642	956	326	941	636	433	701	727	820
HORVU.MOREX.r2.2HG0121080	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121090	745	1165	906	1246	1106	505	1084	704	625	889	863	925
HORVU.MOREX.r2.2HG0121100	2	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121110	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121120	10	21	12	24	31	11	28	14	17	5	16	9
HORVU.MOREX.r2.2HG0121130	0	1	3	0	2	1	3	2	2	1	4	0
HORVU.MOREX.r2.2HG0121140	92	75	91	113	49	28	71	64	45	51	73	62
HORVU.MOREX.r2.2HG0121150	3108	3875	3381	3059	3632	1477	3140	2870	2270	1882	2519	2247
HORVU.MOREX.r2.2HG0121160	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121170	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121180	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121190	597	662	891	743	1293	446	1217	817	573	1109	831	1144
HORVU.MOREX.r2.2HG0121200	1833	1992	1981	2362	1591	951	2242	1248	728	1855	1921	1542
HORVU.MOREX.r2.2HG0121210	2	2	1	1	12	11	3	1	0	6	7	0
HORVU.MOREX.r2.2HG0121220	0	0	1	2	4	2	1	0	3	2	4	5
HORVU.MOREX.r2.2HG0121230	0	0	1	3	0	1	10	8	0	1	0	0
HORVU.MOREX.r2.2HG0121240	0	7	4	2	0	4	3	0	0	1	1	0
HORVU.MOREX.r2.2HG0121250	5	0	9	5	0	3	0	2	0	12	5	0
HORVU.MOREX.r2.2HG0121260	8	0	8	4	6	3	11	2	0	2	0	5
HORVU.MOREX.r2.2HG0121270	1	0	4	4	2	2	4	2	0	6	0	0
HORVU.MOREX.r2.2HG0121280	0	1	0	0	1	3	0	0	0	12	0	4
HORVU.MOREX.r2.2HG0121290	6	3	4	3	11	6	5	4	0	1	1	0
HORVU.MOREX.r2.2HG0121300	4	14	11	12	10	6	19	1	4	7	12	1
HORVU.MOREX.r2.2HG0121310	100	140	98	173	210	164	165	92	201	270	220	115
HORVU.MOREX.r2.2HG0121320	1	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121330	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121340	1	0	5	1	3	0	0	0	0	1	0	0
HORVU.MOREX.r2.2HG0121350	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121360	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121370	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121380	73	80	76	81	143	56	141	77	67	104	104	82
HORVU.MOREX.r2.2HG0121390	7	11	13	7	15	11	20	1	0	7	3	0
HORVU.MOREX.r2.2HG0121400	72	122	128	89	92	41	102	60	24	22	13	38
HORVU.MOREX.r2.2HG0121410	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121420	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121430	423	538	430	498	425	288	413	355	211	431	435	450
HORVU.MOREX.r2.2HG0121440	0	6	0	0	1	0	1	5	0	0	0	3
HORVU.MOREX.r2.2HG0121450	0	0	2	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121460	223	280	311	312	587	147	376	278	284	321	253	363
HORVU.MOREX.r2.2HG0121470	69	77	90	103	100	33	106	62	48	121	32	66
HORVU.MOREX.r2.2HG0121480	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121490	937	1328	1151	1356	1813	705	1615	1375	806	930	1127	1169
HORVU.MOREX.r2.2HG0121500	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121510	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121520	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121530	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121540	730	1106	959	840	909	312	746	688	488	567	528	687
HORVU.MOREX.r2.2HG0121550	2	6	6	0	1	3	0	5	0	1	4	0
HORVU.MOREX.r2.2HG0121560	5	0	1	0	1	4	0	0	0	0	0	1
HORVU.MOREX.r2.2HG0121570	0	0	2	0	3	6	0	2	0	0	0	0
HORVU.MOREX.r2.2HG0121580	99	113	109	100	91	80	108	93	29	87	101	88
HORVU.MOREX.r2.2HG0121590	629	747	693	896	612	333	748	410	324	734	632	680
HORVU.MOREX.r2.2HG0121600	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121610	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121620	0	1	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121630	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121640	0	0	0	0	0	1	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121650	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121660	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121670	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121680	1218	1544	1386	1368	1318	445	1325	1175	616	877	842	961
HORVU.MOREX.r2.2HG0121690	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121700	0	0	0	0	1	0	1	0	0	0	0	0
HORVU.MOREX.r2.2HG0121710	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121720	416	494	385	497	398	169	324	237	208	291	304	334
HORVU.MOREX.r2.2HG0121730	0	1	3	0	0	3	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121740	1	0	0	0	0	1	0	0	2	2	0	0
HORVU.MOREX.r2.2HG0121750	0	0	2	0	1	3	2	1	0	0	5	0
HORVU.MOREX.r2.2HG0121760	0	0	6	1	3	2	6	0	0	0	0	0
HORVU.MOREX.r2.2HG0121770	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121780	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121790	1190	946	1246	1446	2196	723	1681	779	826	1720	1331	1675
HORVU.MOREX.r2.2HG0121800	634	360	668	885	787	349	807	254	172	930	524	570
HORVU.MOREX.r2.2HG0121810	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121820	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121830	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121840	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121850	687	724	672	753	625	360	637	437	343	634	541	465
HORVU.MOREX.r2.2HG0121860	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121870	23	33	27	8	11	2	23	24	13	24	26	49
HORVU.MOREX.r2.2HG0121880	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121890	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121900	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121910	1209	1538	1374	1339	1563	652	1495	1303	1035	1286	1428	1395
HORVU.MOREX.r2.2HG0121920	12	45	54	27	26	17	65	52	39	44	45	58
HORVU.MOREX.r2.2HG0121930	478	401	415	355	568	193	400	501	352	441	379	688
HORVU.MOREX.r2.2HG0121940	808	1108	1076	1132	1150	472	1252	820	556	923	843	914
HORVU.MOREX.r2.2HG0121950	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121960	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121970	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121980	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0121990	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0122000	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0122010	1	10	12	20	22	10	16	12	6	2	6	0
HORVU.MOREX.r2.2HG0122020	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0122030	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0122040	0	0	0	2	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0122050	2895	3033	4173	3694	3746	2040	4980	2349	1646	4646	3980	3382
HORVU.MOREX.r2.2HG0122060	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0122070	0	0	0	0	0	0	0	0	0	0	0	0
HORVU.MOREX.r2.2HG0122080	128	133	185	122	118	53	118	63	38	132	133	55
